ID,State,Position ID,Morph Step,Face Person,ITI,Trial_Onset,Stim_Onset,Stim_Offset,RT,Answer
1,1,2,7,9,1.64094629449927,350191.0122096,350192.6655929,0,2.91833700001007,6
2,1,1,2,16,1.61243227444934,350195.5857303,350197.2100209,0,2.45251410000492,3
3,1,2,1,11,1.68730431551298,350199.6646537,350201.3631478,0,3.54426760005299,3
4,1,2,2,5,1.85818048618601,350204.9079717,350206.7764086,0,2.53112460003467,4
5,1,2,7,6,1.80820761364525,350209.3093089,350211.1279951,0,1.80210269999225,6
6,1,2,8,22,1.42074985688457,350212.9303532,350214.3626399,0,1.84532299998682,8
7,1,2,9,3,1.29250586345907,350216.2081051,350217.5114001,0,2.18009559996426,7
8,1,2,9,12,1.48143787571927,350219.6916164,350221.1859784,0,1.35299600003054,7
9,1,2,3,6,1.5291235689778,350222.5390934,350224.0797216,0,2.1986360999872,4
10,1,1,6,2,1.17164298871284,350226.278472,350227.4610014,0,2.33153329999186,6
11,1,2,1,17,1.67891695120003,350229.7927016,350231.482506,0,2.28565710003022,3
12,1,1,3,15,1.54616218750825,350233.768297,350235.3276111,0,2.31264190003276,2
13,1,1,3,6,1.8208387692558,350237.6404197,350239.4732041,0,2.52708630001871,5
14,1,2,5,4,1.88106689628274,350242.000435,350243.8927569,0,2.09964480000781,6
15,1,1,5,6,1.49223362525724,350245.9925161,350247.4955464,0,1.86463099997491,5
16,1,1,1,4,1.9287461885565,350249.3603994,350251.3001678,0,1.82005400001071,4
17,1,1,4,4,1.82227767175808,350253.1203464,350254.9535451,0,2.54276520002168,5
18,1,2,2,18,1.66804277040472,350257.4964351,350259.1756225,0,3.45660259999568,3
19,1,2,4,12,1.01324190104596,350262.6323623,350263.6565125,0,2.87156739999773,4
20,1,1,7,5,1.68811275155639,350266.5282047,350268.2273198,0,3.13295699999435,6
21,1,2,2,8,1.17701840991491,350271.3603995,350272.5483179,0,3.17190260003554,2
22,1,2,9,6,1.66005623432277,350275.7203408,350277.3918297,0,3.40024630003609,8
23,1,1,1,1,1.65943467937361,350280.7921948,350282.4627529,0,2.305805699958,2
24,1,2,2,21,1.2673288243202,350284.768691,350286.0470401,0,2.35224190005101,4
25,1,1,3,20,1.1964194941106,350288.3994209,350289.6062877,0,1.88354489998892,3
26,1,1,7,19,1.78629634916611,350291.4899765,350293.2869746,0,1.93120550003368,6
27,1,2,2,1,1.78763292557188,350295.2183104,350297.0171428,0,2.22474800003693,4
28,1,1,7,20,1.92790688962285,350299.2420607,350301.1800365,0,2.78115330002038,6
29,1,1,9,21,1.86419230723191,350303.9613207,350305.8359687,0,1.43850340001518,7
30,1,2,3,1,1.44364936168669,350307.2745924,350308.7295186,0,2.7940227999934,3
31,1,2,5,6,1.88938149916574,350311.5236798,350313.4240033,0,1.47802509996109,5
32,1,1,5,17,1.38214097661534,350314.9021816,350316.2963908,0,2.08404600003269,5
33,1,1,8,6,1.57710655339615,350318.3805434,350319.9675777,0,1.47513030003756,7
34,1,2,8,17,1.59286971646577,350321.4428896,350323.0463422,0,1.7345084999688,7
35,1,2,3,16,1.68508783504605,350324.7810106,350326.4771901,0,1.30134239996551,4
36,1,2,8,5,1.63471064880515,350327.7786791,350329.4242055,0,2.67285909998463,7
