Face_Person,Face_Gender,Mean_Rating,Gender_Group
1,0,4.76536312849162,Female
2,0,4.820945945945946,Female
3,0,4.787878787878788,Female
4,0,5.140134529147982,Female
5,0,5.08641975308642,Female
6,0,5.091836734693878,Female
7,0,5.01685393258427,Female
8,0,4.929292929292929,Female
9,0,4.618940248027058,Female
10,0,4.8765432098765435,Female
11,0,4.949267192784667,Female
12,1,4.898989898989899,Male
13,1,4.798432250839865,Male
14,1,4.922645739910314,Male
15,1,4.848654708520179,Male
16,1,4.876681614349776,Male
17,1,4.7912457912457915,Male
18,1,4.601343784994401,Male
19,1,4.855693348365276,Male
20,1,4.698660714285714,Male
21,1,4.8552188552188555,Male
22,1,4.58454647256439,Male
