ID,Face_Person,Morph_Step,Answer,Face_Gender,Subject_Gender,MS_FG,MS_SG,FG_SG,Partial_Residuals,Predicted_Values
1003,4,7,7.0,0,1,0,7,0,7.127280847866653,6.254732416777504
1003,14,8,4.0,1,1,8,8,1,4.239146335942173,6.8779666306023675
1003,5,3,2.0,0,1,0,3,0,1.868338167619485,3.5732762894231356
1003,22,8,4.0,1,1,8,8,1,4.239146335942173,6.8779666306023675
1003,18,3,2.0,1,1,3,3,1,2.04574211735314,3.3958723396894803
1003,6,3,5.0,0,1,0,3,0,4.868338167619485,3.5732762894231356
1003,20,7,4.0,1,1,7,7,1,4.2004654922243665,6.1815477724197905
1003,22,5,3.0,1,1,5,5,1,3.123103804788753,4.788710056054636
1003,8,2,3.0,0,1,0,2,0,2.803602497557693,2.902912257584543
1003,20,2,4.0,1,1,2,2,1,4.007061273635333,2.6994534815069033
1003,16,3,3.0,1,1,3,3,1,3.04574211735314,3.3958723396894803
1003,6,4,4.0,0,1,0,4,0,3.933073837681277,4.2436403212617275
1003,22,7,7.0,1,1,7,7,1,7.2004654922243665,6.1815477724197905
1003,16,1,1.0,1,1,1,1,1,0.9683804299175266,2.0030346233243255
1003,9,7,4.0,0,1,0,7,0,4.127280847866653,6.254732416777504
1003,3,2,2.0,0,1,0,2,0,1.803602497557693,2.902912257584543
1003,16,8,4.0,1,1,8,8,1,4.239146335942173,6.8779666306023675
1003,16,5,3.0,1,1,5,5,1,3.123103804788753,4.788710056054636
1003,18,6,7.0,1,1,6,6,1,7.1617846485065595,5.4851289142372135
1003,5,4,4.0,0,1,0,4,0,3.933073837681277,4.2436403212617275
1003,11,6,5.0,0,1,0,6,0,5.062545177804862,5.584368384938911
1003,16,7,6.0,1,1,7,7,1,6.2004654922243665,6.1815477724197905
1003,5,5,4.0,0,1,0,5,0,3.997809507743069,4.914004353100319
1003,16,3,4.0,1,1,3,3,1,4.045742117353139,3.3958723396894803
1003,18,8,8.0,1,1,8,8,1,8.239146335942173,6.8779666306023675
1003,19,3,3.0,1,1,3,3,1,3.04574211735314,3.3958723396894803
1003,6,3,3.0,0,1,0,3,0,2.868338167619485,3.5732762894231356
1003,13,8,8.0,1,1,8,8,1,8.239146335942173,6.8779666306023675
1003,15,8,7.0,1,1,8,8,1,7.239146335942173,6.8779666306023675
1003,11,5,5.0,0,1,0,5,0,4.997809507743069,4.914004353100319
1003,8,6,5.0,0,1,0,6,0,5.062545177804862,5.584368384938911
1003,14,2,2.0,1,1,2,2,1,2.0070612736353333,2.6994534815069033
1003,2,6,6.0,0,1,0,6,0,6.062545177804862,5.584368384938911
1003,9,8,7.0,0,1,0,8,0,7.192016517928446,6.925096448616095
1003,19,7,7.0,1,1,7,7,1,7.2004654922243665,6.1815477724197905
1003,10,9,8.0,0,1,0,9,0,8.256752187990237,7.595460480454687
1003,15,1,1.0,1,1,1,1,1,0.9683804299175266,2.0030346233243255
1003,11,5,5.0,0,1,0,5,0,4.997809507743069,4.914004353100319
1003,3,9,8.0,0,1,0,9,0,8.256752187990237,7.595460480454687
1003,21,2,2.0,1,1,2,2,1,2.0070612736353333,2.6994534815069033
1003,3,1,2.0,0,1,0,1,0,1.738866827495901,2.232548225745951
1003,18,1,3.0,1,1,1,1,1,2.9683804299175267,2.0030346233243255
1003,17,9,9.0,1,1,9,9,1,9.27782717965998,7.574385488784945
1003,1,7,7.0,0,1,0,7,0,7.127280847866653,6.254732416777504
